Time (s), Speed
00:00:00,120.00,
00:00:01,120.00,
00:00:02,97.08,
00:00:03,86.10,
00:00:04,86.10,
00:00:05,60.00,
00:00:06,57.93,
00:00:07,86.10,
00:00:08,86.10,
00:00:09,86.10,
00:00:10,120.00,
00:00:11,120.00,
00:00:12,120.00,
00:00:13,120.00,
00:00:14,120.00,
00:00:15,97.08,
00:00:16,97.08,
00:00:17,97.08,
00:00:18,60.00,
00:00:19,86.10,
00:00:20,86.10,
00:00:21,86.10,
00:00:22,86.10,
00:00:23,97.08,
00:00:24,97.08,
00:00:25,37.08,
00:00:26,37.08,
00:00:27,37.08,
00:00:28,37.08,
00:00:29,37.08,
00:00:30,88.41,
00:00:31,97.08,
00:00:32,86.10,
00:00:33,86.10,
00:00:34,120.00,
00:00:35,120.00,
00:00:36,120.00,
00:00:37,120.00,
00:00:38,120.00,
00:00:39,120.00,
00:00:40,86.10,
00:00:41,86.10,
00:00:42,86.10,
00:00:43,120.00,
00:00:44,120.00,
00:00:45,120.00,
00:00:46,120.00,
00:00:47,120.00,
00:00:48,120.00,
00:00:49,120.00,
00:00:50,86.10,
00:00:51,86.10,
00:00:52,86.10,
00:00:53,86.10,
00:00:54,86.10,
00:00:55,86.10,
00:00:56,120.00,
