AgentName,StartTime,EndTime,Duration,AverageUnitsPerSecond,StartingDistanceFromDest,Wait Time,Max Speed
BP_Agent_Male24,00:00:00,00:00:40,00:00:40,1.20,3909.22,0.00,120.00
BP_Agent_Female23,00:00:00,00:00:40,00:00:40,1.19,3660.56,0.00,120.00
BP_Agent_Female8,00:00:00,00:00:41,00:00:41,1.16,3576.44,1.00,120.00
BP_Agent_Male12,00:00:00,00:00:41,00:00:41,1.18,3816.47,0.00,120.00
BP_Agent_Female4,00:00:00,00:00:42,00:00:42,1.19,3854.90,0.00,120.00
BP_Agent_Female22,00:00:00,00:00:43,00:00:43,1.13,3868.24,0.00,120.00
BP_Agent_Male10,00:00:00,00:00:44,00:00:44,1.14,3484.94,0.00,120.00
BP_Agent_Male7,00:00:00,00:00:44,00:00:44,1.13,4009.34,0.00,120.00
BP_Agent_Male8,00:00:00,00:00:45,00:00:45,1.09,3722.97,0.00,120.00
BP_Agent_Female12,00:00:00,00:00:46,00:00:46,1.09,3751.20,0.00,120.00
BP_Agent_Female16,00:00:00,00:00:47,00:00:47,1.07,4016.92,0.00,120.00
BP_Agent_Female24,00:00:00,00:00:47,00:00:47,1.06,4000.50,0.00,120.00
BP_Agent_Female10,00:00:00,00:00:47,00:00:47,1.06,3639.22,1.00,120.00
BP_Agent_Male19,00:00:00,00:00:48,00:00:48,1.06,4093.88,0.00,120.00
BP_Agent_Female6,00:00:00,00:00:48,00:00:48,1.07,3826.94,1.00,120.00
BP_Agent_Male22,00:00:00,00:00:49,00:00:49,1.04,3837.31,0.00,120.00
BP_Agent_Female21,00:00:00,00:00:49,00:00:49,1.03,4175.34,3.00,120.00
BP_Agent_Male9,00:00:00,00:00:50,00:00:50,1.00,3735.17,2.00,120.00
BP_Agent_Male14,00:00:00,00:00:50,00:00:50,1.03,4115.31,4.00,120.00
BP_Agent_Male,00:00:00,00:00:51,00:00:51,1.02,3932.23,0.00,120.00
BP_Agent_Female7,00:00:00,00:00:51,00:00:51,0.99,3947.83,2.00,120.00
BP_Agent_Male13,00:00:00,00:00:52,00:00:52,1.00,4017.18,2.00,120.00
BP_Agent_Male15,00:00:00,00:00:53,00:00:53,1.01,4231.23,4.00,120.00
BP_Agent_Male5,00:00:00,00:00:53,00:00:53,1.00,3676.18,0.00,120.00
BP_Agent_Male4,00:00:00,00:00:53,00:00:53,0.97,3752.79,1.00,120.00
BP_Agent_Female3,00:00:00,00:00:54,00:00:54,0.97,4055.36,3.00,120.00
BP_Agent_Female5,00:00:00,00:00:54,00:00:54,0.95,3641.16,1.00,120.00
BP_Agent_Female19,00:00:00,00:00:54,00:00:54,0.93,4254.67,5.00,120.00
BP_Agent_Male11,00:00:00,00:00:55,00:00:55,0.96,4098.68,4.00,120.00
BP_Agent_Male21,00:00:00,00:00:55,00:00:55,0.95,4367.57,6.00,120.00
BP_Agent_Female15,00:00:00,00:00:56,00:00:56,0.94,4144.95,8.00,120.00
BP_Agent_Female2,00:00:00,00:00:56,00:00:56,0.93,3549.86,2.00,120.00
BP_Agent_Male6,00:00:00,00:00:56,00:00:56,0.93,3570.73,7.00,120.00
BP_Agent_Female9,00:00:00,00:00:57,00:00:57,0.94,3936.25,5.00,120.00
BP_Agent_Male3,00:00:00,00:00:57,00:00:57,0.92,3969.40,5.00,120.00
BP_Agent_Female14,00:00:00,00:00:58,00:00:58,0.90,4226.42,7.00,120.00
BP_Agent_Male16,00:00:00,00:00:58,00:00:58,0.91,4324.06,7.00,120.00
BP_Agent_Male18,00:00:00,00:00:58,00:00:58,0.91,4418.94,7.00,120.00
BP_Agent_Female,00:00:00,00:00:59,00:00:59,0.90,3722.81,6.00,120.00
BP_Agent_Female11,00:00:00,00:00:59,00:00:59,0.90,4186.21,6.00,120.00
BP_Agent_Female13,00:00:00,00:01:00,00:01:00,0.89,4372.69,7.00,120.00
BP_Agent_Male20,00:00:00,00:01:00,00:01:00,0.87,4232.71,6.00,120.00
BP_Agent_Male17,00:00:00,00:01:01,00:01:01,0.88,4200.78,4.00,120.00
BP_Agent_Male2,00:00:00,00:01:01,00:01:01,0.90,3856.83,7.00,120.00
BP_Agent_Male23,00:00:00,00:01:01,00:01:01,0.83,4357.77,10.00,120.00
BP_Agent_Female20,00:00:00,00:01:02,00:01:02,0.85,4322.88,7.00,120.00
BP_Agent_Female18,00:00:00,00:01:03,00:01:03,0.84,4511.40,9.00,120.00
BP_Agent_Female17,00:00:00,00:01:04,00:01:04,0.83,4327.01,12.00,120.00
