Time (s), Speed
00:00:00,120.00,
00:00:01,120.00,
00:00:02,120.00,
00:00:03,120.00,
00:00:04,120.00,
00:00:05,97.08,
00:00:06,86.10,
00:00:07,86.10,
00:00:08,86.10,
00:00:09,120.00,
00:00:10,120.00,
00:00:11,86.10,
00:00:12,86.10,
00:00:13,86.10,
00:00:14,120.00,
00:00:15,120.00,
00:00:16,120.00,
00:00:17,86.10,
00:00:18,97.08,
00:00:19,97.08,
00:00:20,86.10,
00:00:21,86.10,
00:00:22,97.08,
00:00:23,30.00,
00:00:24,58.20,
00:00:25,37.08,
00:00:26,37.08,
00:00:27,97.08,
00:00:28,97.08,
00:00:29,86.10,
00:00:30,86.10,
00:00:31,120.00,
00:00:32,120.00,
00:00:33,120.00,
00:00:34,120.00,
00:00:35,120.00,
00:00:36,120.00,
00:00:37,120.00,
00:00:38,120.00,
00:00:39,120.00,
00:00:40,120.00,
00:00:41,120.00,
00:00:42,97.08,
00:00:43,97.08,
00:00:44,97.08,
00:00:45,86.10,
00:00:46,120.00,
