Time (s), Speed
00:00:00,60.00,
00:00:01,86.10,
00:00:02,86.10,
00:00:03,86.10,
00:00:04,86.10,
00:00:05,86.10,
00:00:06,97.08,
00:00:07,97.08,
00:00:08,58.20,
00:00:09,37.08,
00:00:10,55.98,
00:00:11,30.00,
00:00:12,120.00,
00:00:13,120.00,
00:00:14,120.00,
00:00:15,120.00,
00:00:16,86.10,
00:00:17,97.08,
00:00:18,120.00,
00:00:19,97.08,
00:00:20,120.00,
00:00:21,120.00,
00:00:22,86.10,
00:00:23,86.10,
00:00:24,30.00,
00:00:25,60.00,
00:00:26,86.10,
00:00:27,86.10,
00:00:28,97.08,
00:00:29,37.08,
00:00:30,37.08,
00:00:31,58.20,
00:00:32,97.08,
00:00:33,97.08,
00:00:34,86.10,
00:00:35,86.10,
00:00:36,120.00,
00:00:37,120.00,
00:00:38,120.00,
00:00:39,120.00,
00:00:40,120.00,
00:00:41,120.00,
00:00:42,120.00,
00:00:43,120.00,
00:00:44,120.00,
00:00:45,120.00,
00:00:46,120.00,
00:00:47,120.00,
00:00:48,120.00,
00:00:49,120.00,
00:00:50,120.00,
00:00:51,120.00,
00:00:52,120.00,
00:00:53,120.00,
00:00:54,120.00,
00:00:55,120.00,
00:00:56,120.00,
00:00:57,120.00,
00:00:58,120.00,
