Time (s),Duration (hh:mm:ss)
00:00:00,107.62,
00:00:01,150.00,
00:00:02,150.00,
00:00:03,150.00,
00:00:04,107.62,
00:00:05,107.62,
00:00:06,107.62,
00:00:07,72.75,
00:00:08,107.62,
00:00:09,75.00,
00:00:10,75.00,
00:00:11,107.62,
00:00:12,107.62,
00:00:13,121.35,
00:00:14,150.00,
00:00:15,150.00,
00:00:16,150.00,
00:00:17,150.00,
00:00:18,150.00,
00:00:19,150.00,
00:00:20,150.00,
00:00:21,150.00,
00:00:22,107.62,
00:00:23,75.00,
00:00:24,107.62,
00:00:25,107.62,
00:00:26,107.62,
00:00:27,150.00,
00:00:28,150.00,
00:00:29,150.00,
00:00:30,150.00,
00:00:31,107.62,
